IMAGE                                           TAG                                     IMAGE ID            SIZE
docker.io/kindest/kindnetd                      v20251212-v0.29.0-alpha-105-g20ccfc88   4921d7a6dffa9       42.7MB
docker.io/kindest/local-path-helper             v20251211-v0.29.0-alpha-100-g82a92c5d   2e560e8db0b10       3.08MB
docker.io/kindest/local-path-provisioner        v20251212-v0.29.0-alpha-105-g20ccfc88   65232e320e58b       24.7MB
docker.io/pranav/devboard-fe                    latest                                  fcb58ce2631ea       86.2MB
docker.io/pranav/devboard-frontend              latest                                  9fed13b91f4b0       86.2MB
docker.io/trainwithshubham/devboard-frontend    latest                                  312a59ac80d0c       4.24MB
registry.k8s.io/coredns/coredns                 v1.13.1                                 aa5e3ebc0dfed       23.6MB
registry.k8s.io/etcd                            3.6.6-0                                 0a108f7189562       23.6MB
registry.k8s.io/kube-apiserver-amd64            v1.35.0                                 5c6acd67e9cd1       90.8MB
registry.k8s.io/kube-apiserver                  v1.35.0                                 5c6acd67e9cd1       90.8MB
registry.k8s.io/kube-controller-manager-amd64   v1.35.0                                 2c9a4b058bd7e       76.9MB
registry.k8s.io/kube-controller-manager         v1.35.0                                 2c9a4b058bd7e       76.9MB
registry.k8s.io/kube-proxy-amd64                v1.35.0                                 32652ff1bbe6b       72MB
registry.k8s.io/kube-proxy                      v1.35.0                                 32652ff1bbe6b       72MB
registry.k8s.io/kube-scheduler-amd64            v1.35.0                                 550794e3b12ac       52.8MB
registry.k8s.io/kube-scheduler                  v1.35.0                                 550794e3b12ac       52.8MB
registry.k8s.io/pause                           3.10                                    873ed75102791       320kB
