Aug 25 04:14:20 pranav-cluster-worker2 systemd[1]: Starting kubelet.service - kubelet: The Kubernetes Node Agent...
Aug 25 04:14:20 pranav-cluster-worker2 systemd[1]: Started kubelet.service - kubelet: The Kubernetes Node Agent.
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: I0825 04:14:21.092327     133 server.go:525] "Kubelet version" kubeletVersion="v1.35.0"
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: I0825 04:14:21.092416     133 server.go:527] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: I0825 04:14:21.093252     133 watchdog_linux.go:95] "Systemd watchdog is not enabled"
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: I0825 04:14:21.093277     133 watchdog_linux.go:138] "Systemd watchdog is not enabled or the interval is invalid, so health checking will not be started."
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: I0825 04:14:21.093681     133 server.go:951] "Client rotation is on, will bootstrap in background"
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: I0825 04:14:21.099242     133 certificate_store.go:147] "Loading cert/key pair from a file" filePath="/var/lib/kubelet/pki/kubelet-client-current.pem"
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: I0825 04:14:21.108226     133 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: W0825 04:14:21.108956     133 logging.go:55] [core] [Channel #1 SubChannel #2]grpc: addrConn.createTransport failed to connect to {Addr: "/run/containerd/containerd.sock", ServerName: "localhost", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial unix /run/containerd/containerd.sock: connect: no such file or directory"
Aug 25 04:14:21 pranav-cluster-worker2 kubelet[133]: E0825 04:14:21.109502     133 run.go:72] "command failed" err="failed to run Kubelet: validate service connection: validate CRI v1 runtime API for endpoint \"unix:///run/containerd/containerd.sock\": rpc error: code = Unavailable desc = connection error: desc = \"transport: Error while dialing: dial unix /run/containerd/containerd.sock: connect: no such file or directory\""
Aug 25 04:14:21 pranav-cluster-worker2 systemd[1]: kubelet.service: Main process exited, code=exited, status=1/FAILURE
Aug 25 04:14:21 pranav-cluster-worker2 systemd[1]: kubelet.service: Failed with result 'exit-code'.
Aug 25 04:14:22 pranav-cluster-worker2 systemd[1]: kubelet.service: Scheduled restart job, restart counter is at 1.
Aug 25 04:14:22 pranav-cluster-worker2 systemd[1]: Stopped kubelet.service - kubelet: The Kubernetes Node Agent.
Aug 25 04:14:22 pranav-cluster-worker2 systemd[1]: Starting kubelet.service - kubelet: The Kubernetes Node Agent...
Aug 25 04:14:22 pranav-cluster-worker2 systemd[1]: Started kubelet.service - kubelet: The Kubernetes Node Agent.
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.287233     187 server.go:525] "Kubelet version" kubeletVersion="v1.35.0"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.287304     187 server.go:527] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.287324     187 watchdog_linux.go:95] "Systemd watchdog is not enabled"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.287329     187 watchdog_linux.go:138] "Systemd watchdog is not enabled or the interval is invalid, so health checking will not be started."
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.287636     187 server.go:951] "Client rotation is on, will bootstrap in background"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.288666     187 certificate_store.go:147] "Loading cert/key pair from a file" filePath="/var/lib/kubelet/pki/kubelet-client-current.pem"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.290624     187 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.298763     187 server.go:1418] "Using cgroup driver setting received from the CRI runtime" cgroupDriver="systemd"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.304996     187 server.go:836] "NoSwap is set due to memorySwapBehavior not specified" memorySwapBehavior="" FailSwapOn=false
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305125     187 swap_util.go:119] "Swap is on" /proc/swaps contents=<
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]:         Filename                                Type                Size                Used                Priority
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]:         /var/lib/swap                           file                1048572                0                -2
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]:  >
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305372     187 container_manager_linux.go:272] "Container manager verified user specified cgroup-root exists" cgroupRoot=["kubelet"]
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305403     187 container_manager_linux.go:277] "Creating Container Manager object based on Node Config" nodeConfig={"NodeName":"pranav-cluster-worker2","RuntimeCgroupsName":"/system.slice/containerd.service","SystemCgroupsName":"","KubeletCgroupsName":"","KubeletOOMScoreAdj":-999,"ContainerRuntime":"","CgroupsPerQOS":true,"CgroupRoot":"/kubelet","CgroupDriver":"systemd","KubeletRootDir":"/var/lib/kubelet","ProtectKernelDefaults":false,"KubeReservedCgroupName":"","SystemReservedCgroupName":"","ReservedSystemCPUs":{},"EnforceNodeAllocatable":{"pods":{}},"KubeReserved":null,"SystemReserved":null,"HardEvictionThresholds":[],"QOSReserved":{},"CPUManagerPolicy":"none","CPUManagerPolicyOptions":null,"TopologyManagerScope":"container","CPUManagerReconcilePeriod":10000000000,"MemoryManagerPolicy":"None","MemoryManagerReservedMemory":null,"PodPidsLimit":-1,"EnforceCPULimits":true,"CPUCFSQuotaPeriod":100000000,"TopologyManagerPolicy":"none","TopologyManagerPolicyOptions":null,"CgroupVersion":2}
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305555     187 topology_manager.go:143] "Creating topology manager with none policy"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305565     187 container_manager_linux.go:308] "Creating device plugin manager"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305591     187 container_manager_linux.go:317] "Creating Dynamic Resource Allocation (DRA) manager"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305791     187 state_mem.go:41] "Initialized" logger="CPUManager state memory"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305962     187 kubelet.go:482] "Attempting to sync node with API server"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305977     187 kubelet.go:383] "Adding static pod path" path="/etc/kubernetes/manifests"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.305994     187 kubelet.go:394] "Adding apiserver pod source"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.306004     187 apiserver.go:42] "Waiting for node sync before watching apiserver pods"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.306868     187 kuberuntime_manager.go:294] "Container runtime initialized" containerRuntime="containerd" version="v2.2.0" apiVersion="v1"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.308212     187 kubelet.go:943] "Not starting ClusterTrustBundle informer because we are in static kubelet mode or the ClusterTrustBundleProjection featuregate is disabled"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.308246     187 kubelet.go:970] "Not starting PodCertificateRequest manager because we are in static kubelet mode or the PodCertificateProjection feature gate is disabled"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.308915     187 server.go:1257] "Started kubelet"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.309325     187 ratelimit.go:56] "Setting rate limiting for endpoint" service="podresources" qps=100 burstTokens=10
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.309443     187 server_v1.go:49] "podresources" method="list" useActivePods=true
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.309691     187 server.go:254] "Starting to serve the podresources API" endpoint="unix:/var/lib/kubelet/pod-resources/kubelet.sock"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.309748     187 server.go:182] "Starting to listen" address="0.0.0.0" port=10250
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.310673     187 fs_resource_analyzer.go:69] "Starting FS ResourceAnalyzer"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.311751     187 server.go:317] "Adding debug handlers to kubelet server"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: E0825 04:14:22.311872     187 event.go:368] "Unable to write event (may retry after sleeping)" err="Post \"https://pranav-cluster-control-plane:6443/api/v1/namespaces/default/events\": dial tcp 172.18.0.4:6443: connect: connection refused" event="&Event{ObjectMeta:{pranav-cluster-worker2.18cef1296b4e1000  default    0 0001-01-01 00:00:00 +0000 UTC <nil> <nil> map[] map[] [] [] []},InvolvedObject:ObjectReference{Kind:Node,Namespace:,Name:pranav-cluster-worker2,UID:,APIVersion:v1,ResourceVersion:,FieldPath:,},Reason:Starting,Message:Starting kubelet.,Source:EventSource{Component:kubelet,Host:pranav-cluster-worker2,},FirstTimestamp:2026-08-25 04:14:22.308896768 +0000 UTC m=+0.058487563,LastTimestamp:2026-08-25 04:14:22.308896768 +0000 UTC m=+0.058487563,Count:1,Type:Normal,EventTime:0001-01-01 00:00:00 +0000 UTC,Series:nil,Action:,Related:nil,ReportingController:kubelet,ReportingInstance:pranav-cluster-worker2,}"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.312598     187 dynamic_serving_content.go:135] "Starting controller" name="kubelet-server-cert-files::/var/lib/kubelet/pki/kubelet.crt::/var/lib/kubelet/pki/kubelet.key"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.313592     187 volume_manager.go:311] "Starting Kubelet Volume Manager"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.316590     187 factory.go:223] Registration of the systemd container factory successfully
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.316781     187 factory.go:221] Registration of the crio container factory failed: Get "http://%2Fvar%2Frun%2Fcrio%2Fcrio.sock/info": dial unix /var/run/crio/crio.sock: connect: no such file or directory
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.313600     187 desired_state_of_world_populator.go:146] "Desired state populator starts to run"
Aug 25 04:14:22 pranav-cluster-worker2 kubelet[187]: I0825 04:14:22.317928     187 reconciler.go:29] "Reconciler: start to sync state"
